CodeFigure_OriginatingCentres,Name_OriginatingCentres_fr,CodeFigure_SubCentres,Name_SubCentres_fr,Status
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,10,Tromso (Norvège)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,11,McMurdo (Antarctique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,12,Sodankyla (Finlande)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,13,Fairbanks (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,14,Barrow (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,15,Rothera (Antarctique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,20,Honolulu (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,21,Gilmore Creek (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,22,Madison (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,23,Miami (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,24,Mayaguez (Porto Rico)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,25,Monterey (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,26,Guam
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,27,Corvallis (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,28,Hampton (États-Unis d'Amérique)
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,29,New York (États-Unis d'Amérique)
177,National Ocean Service de la NOAA – États-Unis d'Amérique,1,Center for Operational Oceanographic Products and Services
177,National Ocean Service de la NOAA – États-Unis d'Amérique,2,Coast Survey Development Laboratory
,RÉGION V,,
2,Melbourne,201,Casey
2,Melbourne,203,Davis
2,Melbourne,210,Alice Springs
2,Melbourne,211,Melbourne Crib Point 1
2,Melbourne,214,Darwin
2,Melbourne,217,Perth
2,Melbourne,219,Townsville
2,Melbourne,232,Fidji
2,Melbourne,235,Nouméa
2,Melbourne,237,Papeete
2,Melbourne,250,Vladivostock
2,Melbourne,251,Guam
2,Melbourne,252,Honolulu
69,Wellington (CMRS),204,National Institute of Water and Atmospheric Research (NIWA – Nouvelle-Zélande)
69,Wellington (CMRS),205,Nioué
69,Wellington (CMRS),206,Rarotonga (Îles Cook)
69,Wellington (CMRS),207,Apia (Samoa)
69,Wellington (CMRS),208,Tonga
69,Wellington (CMRS),209,Tuvalu
69,Wellington (CMRS),210,Kiribati
69,Wellington (CMRS),211,Tokélaou
69,Wellington (CMRS),243,Kelburn
72,Singapour,249,Singapour
191,Polynésie française (CMN),1,Station RARS de Tahiti (Polynésie française)
204,National Institute of Water and Atmospheric Research (NIWA) – Nouvelle-Zélande,101,Maupia
204,National Institute of Water and Atmospheric Research (NIWA) – Nouvelle-Zélande,102,Lauder
,RÉGION VI,,
74,"Met Office du Royaume-Uni, Exeter (CMRS)",1,Shanwick Oceanic Area Control Centre
74,"Met Office du Royaume-Uni, Exeter (CMRS)",2,Fucino
74,"Met Office du Royaume-Uni, Exeter (CMRS)",3,Gatineau
74,"Met Office du Royaume-Uni, Exeter (CMRS)",4,Maspalomas (Espagne)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",5,ESA ERS Central Facility
74,"Met Office du Royaume-Uni, Exeter (CMRS)",6,Prince Albert
74,"Met Office du Royaume-Uni, Exeter (CMRS)",7,West Freugh
74,"Met Office du Royaume-Uni, Exeter (CMRS)",13,Tromsø
74,"Met Office du Royaume-Uni, Exeter (CMRS)",21,Agenzia Spaziale Italiana (Italie)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",22,Centre national de la recherche scientifique (France)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",23,GeoForschungs Zentrum (Allemagne)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",24,Geodetic Observatory Pecny (Tchéquie)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",25,Institut d'Estudis Espacials de Catalunya (Espagne)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",26,Office fédéral de topographie (Suisse)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",27,Nordic Commission of Geodesy (Norvège)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",28,Nordic Commission of Geodesy (Suède)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",29,Institut géographique national (France) – Service de géodésie
74,"Met Office du Royaume-Uni, Exeter (CMRS)",30,Bundesamt für Kartographie und Geodäsie (Allemagne)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",31,Institute of Engineering Satellite Surveying and Geodesy (Royaume-Uni)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",32,Joint Operational Meteorology and Oceanography Centre (JOMOC)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",33,Koninklijk Nederlands Meteorologisch Institut (Pays-Bas)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",34,Nordic GPS Atmospheric Analysis Centre (Suède)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",35,Instituto Geográfico Nacional de España (Espagne)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",36,Met Eireann (Irlande)
74,"Met Office du Royaume-Uni, Exeter (CMRS)",37,Observatoire royal de Belgique (Belgique)
78,Offenbach (CMRS),010,POLARA (Centre d'études des algorithmes de polarimétrie radar)
78,Offenbach (CMRS),064,Bureau d'information géographique de l'armée allemande (BGIO)
78,Offenbach (CMRS),110,NowCast mobile (données sur la foudre)
78,Offenbach (CMRS),221,"Schleswig-Holstein, Centre de calcul pour la circulation (TOCC) de Kiel/Neumünster"
78,Offenbach (CMRS),222,"Hambourg, TOCC de Hambourg"
78,Offenbach (CMRS),223,"Basse Saxe, TOCC de Hanovre"
78,Offenbach (CMRS),224,Autriche (CMN)
78,Offenbach (CMRS),225,"Rhénanie du Nord-Westphalie, TOCC de Kamen et de Leverkusen"
78,Offenbach (CMRS),226,"Hesse, TOCC de Rüsselsheim"
78,Offenbach (CMRS),227,"Rhénanie-Palatinat, TOCC de Coblence"
78,Offenbach (CMRS),228,"Bade-Wurtemberg, TOCC de Ludwigsbourg"
78,Offenbach (CMRS),229,"Bavière, TOCC de Freimann"
78,Offenbach (CMRS),230,"Sarre, TOCC de Rohrbach"
78,Offenbach (CMRS),231,"Bavière, Direction des autoroutes du nord de la Bavière"
78,Offenbach (CMRS),232,"Brandebourg, TOCC de Stolpe"
78,Offenbach (CMRS),233,"Mecklembourg-Poméranie occidentale, TOCC de Malchow"
78,Offenbach (CMRS),234,"Saxe, TOCC de Dresde"
78,Offenbach (CMRS),235,"Saxe-Anhalt, TOCC de Halle"
78,Offenbach (CMRS),236,"Thuringe, TOCC d'Erfurt"
78,Offenbach (CMRS),237,EasyWay - Meteotrans
78,Offenbach (CMRS),254,EUMETSAT
80,Rome (CMRS),101,Albanie (CMN)
80,Rome (CMRS),102,"Institut des sciences de l'atmosphère et du climat, Conseil national de la recherche (ISAC-CNR)"
85,Toulouse (CMRS),200,Institut national de l'environnement industriel et des risques (France)
85,Toulouse (CMRS),201,Rheinisches Institut für Umweltforschung an der Universität zu Köln E.V. (Allemagne)
85,Toulouse (CMRS),202,Institut français de recherche pour l'exploitation de la mer
85,Toulouse (CMRS),203,Université d'Aarhus (Danemark)
85,Toulouse (CMRS),204,Institut de protection environnementale – Institut national de recherche (Pologne)
89,Prague (RTH),1,Observatoire du rayonnement solaire et de l'ozone de Hradec Kralove
96,Athènes,1,Chypre (CMN)
227,Belgique (CMN),1,Luxembourg (CMN)
250,COSMO (Consortium pour la modélisation à petite échelle),76,Roshydromet (Fédération de Russie)
250,COSMO (Consortium pour la modélisation à petite échelle),78,Deutscher Wetterdienst (Allemagne)
250,COSMO (Consortium pour la modélisation à petite échelle),80,Ufficio Generale Spazio Aereo e Meteorologia (Italie)
250,COSMO (Consortium pour la modélisation à petite échelle),96,Service météorologique grec (Grèce)
250,COSMO (Consortium pour la modélisation à petite échelle),215,Météo Suisse (Suisse)
250,COSMO (Consortium pour la modélisation à petite échelle),220,Institut de météorologie et de gestion des ressources en eau (Pologne)
250,COSMO (Consortium pour la modélisation à petite échelle),242,Service météorologique national (Roumanie)
254,Centre d'exploitation d'EUMETSAT,10,Tromsø (Norvège)
254,Centre d'exploitation d'EUMETSAT,20,Maspalomas (Espagne)
254,Centre d'exploitation d'EUMETSAT,30,Kangerlussuaq (Groenland)
254,Centre d'exploitation d'EUMETSAT,40,Edmonton (Canada)
254,Centre d'exploitation d'EUMETSAT,50,Bedford (Canada)
254,Centre d'exploitation d'EUMETSAT,60,Gander (Canada)
254,Centre d'exploitation d'EUMETSAT,70,Monterey (États-Unis d'Amérique)
254,Centre d'exploitation d'EUMETSAT,80,Wallops Island (États-Unis d'Amérique)
254,Centre d'exploitation d'EUMETSAT,90,Gilmor Creek (États-Unis d'Amérique)
254,Centre d'exploitation d'EUMETSAT,100,Athènes (Grèce)
