Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status
285,ISRO,Radiómetro productor de imágenes multi- espectrales (vis/IR),MOS,Explorador optoelectrónico modular,
286,ISRO,Instrumento en color para el océano,OCM,Monitor en color para el océano,
287,ASI,,ROSA,Sonda atmosférica por radio ocultación,
288,ISRO,Dispoersómetro,SCAT,Dispersómetro,
289,ISRO,Reproductor de imágenes óptico,IMG,Reproductor de imágenes,
290,JMA,Comunicaciones,MTSAT Comms,Paquete de comunicaciones para MTSAT,
291,JMA,Comunicaciones,Himawari Comms,Paquete de comunicaciones para Himawari,
294,JMA,Radiómetro multiespectral productor de imágenes,JAMI,Reproductor japonés avanzado de imágenes meteorológicas,
295,JMA,Radiómetro multiespectral productor de imágenes,IMAGER/MTSAT-2,Reproductor de imágenes/MTSAT-2,
296,JMA,Radiómetro multiespectral productor de imágenes,VISSR (GMS4),Radiómetro de exploración visible e infrarrojo rotatorio (GMS4),
297,JMA,Radiómetro multiespectral productor de imágenes,AHI,Reproductor avanzado de imágenes Himawari,
300,NASA,Lidar,GLAS,Sistema de altímetro por láser para ciencias de la Tierra,
301,NASA,Órbita de precisión,LRA,Formación de retrorreflectores láser,
302,NASA,Lidar,MBLA,Altímetro láser de haz múltiple,
303,NASA,Lidar,CALIOP,Lidar de aerosoles de nube con polarización ortogonal,
309,NASA,Radar de perfil de las nubes y lluvia,CPR (Cloudsat),Radar perfilador de nubes,
312,NASA,Radar,NSCAT,Dispersómetro NASA,
313,NASA,Radar,SeaWinds,Dispersómetro ADEOS II – NASA,
314,NASA,Radar,RapidScat,Dispersómetro RapidScat,
330,NASA,Radiómetro del balance de radiaciónde la Tierra,ACRIM,Monitor de irradiancia por radiómetro de cavidad activa,
334,NASA,Ozono total y perfil del ozono,BUV,Instrumento ultravioleta de retrodispersión,
336,NASA,Productor de imágenes ópticas de alta resolución,ALI,Reproductor de imágenes terrestre avanzado,
347,NASA,Productor de imágenes ópticas de alta resolución,ASTER,Radiómetro avanzado de emisión y reflexión térmica instalado en el espacio,
348,NASA,Radiómetro del balance de radiación de la Tierra,CERES-2,Sistema de estudio del balance radiativo de la Tierra y de las nubes,
351,NASA,Sonda para la temperaturaGPSDR y humedad atmosféricas,,Receptor de demostración GPS,
353,NASA,Ozono total y perfil del      HiRDLS ozono,,Sonda tangencial dinámica de alta resolución,
354,NASA,Ozono total y perfil del      HRDI ozono,,Reproductor de imágenes Doppler de alta resolución,
356,NASA,Radiómetro                      LIS,,Sensor de imagenización de relámpagos,
358,NASA,"Campo magnético, límite   PEM de centelleo de imágenes aurorales",,Monitor de partículas del medio ambiente,
359,NASA,Instrumento en color para SeaWiFS el océano,,Sensor de campo visual extenso para panorámicas marinas,
360,NASA,Radiómetro del balance     SUSIM (UARS) de radiación de la Tierra,,Monitor de irradiancia ultravioleta solar,
363,NASA,Ozono total y perfil del ozono,SBUV/1,Detector de retrodispersión solar ultravioleta 1,
365,NASA,Radiómetro productor de imágenes multiespectrales (microondas pasivo),TMI,Reproductor de imágenes de microondas TRMM,
366,NASA,Radiómetro productor de imágenes multiespectrales (microondas pasivo),JMR,Radiómetro de microondas JASON-1,
367,NASA,Radiómetro multiespectral de imagenización,AMR,Radiómetro de microondas avanzado,
369,NASA,Ozono total y perfil del ozono,LIMS,Aparato de sondeo tangencial infrarrojo de la estratosfera,
370,NASA,Ozono total y perfil del ozono,LRIR,Radiómetro de inversión de la radiancia del limbo,
371,NASA,Ozono total y perfil del ozono,EPIC,Cámara de imágenes policromáticas de la Tierra,
372,NASA,Radiómetro del balance de radiación de la Tierra,NISTAR,Radiómetro avanzado NIST,
373,NASA,"Campo magnético, límite de centelleo de imágenes aurorales",Plasma-Mag,,
374,NASA,Otro,XPS,Sistema fotómetro XUV,
375,NASA,Radiómetro productor de imágenes multiespectrales (vis/IR),VIRS,Explorador visible e infrarrojo,
376,CNES,Radiómetro de dirección/ polarización múltiple,POLDER II,Polarización y direccionalidad de la reflectancia de la Tierra – II,
377,NASA,Radiómetro del balance de radiación de la Tierra,TIM,Monitor de irradiancia total,
379,NASA,Radiómetro productor de imágenes multiespectrales (vis/IR),WFC,Cámara de campo extenso,
382,NASA,Espectrorradiómetro,CLAES,Espectrómetro patrón grupal tangencial criogénico,
383,NASA,Espectrorradiómetro,HALOE,Experimento de ocultación halógeno,
384,NASA,Espectrorradiómetro,ISAMS,Sonda estratosférica y mesosférica mejorada,
385,NASA,Espectrorradiómetro,MISR,Espectrorradiómetro de imagenización multiangular,
386,NASA,Espectrorradiómetro,MLS,Sonda tangencial de microondas,
387,NASA,Espectrorradiómetro,MLS (EOS-Aura),Sonda tangencial de microondas (EOS-Aura),
389,NASA,Espectrorradiómetro,MODIS,Espectrorradiómetro de imagenización de resolución moderada,
393,NASA,Gravedad,HAIRS,Sistema de telemetría intersatelital de gran precisión,
394,NASA,Ozono total y perfil del ozono,OMI,Instrumento de medición del ozono,
395,NASA,Radiómetro,Corrector atmosférico,Corrector atmosférico,
396,NASA,Radiómetro,Hyperion,Reproductor de imágenes hiperespectral,
399,NASA,Espectrorradiómetro,SAGE I,Experimento sobre gases y aerosoles estratosféricos-I,
400,NASA,Espectrorradiómetro,SAGE II,Experimento sobre gases y aerosoles estratosféricos-II,
401,NASA,Espectrorradiómetro,SAGE III,Experimento sobre gases y aerosoles estratosféricos-III,
402,NASA,Espectrorradiómetro,SAMS,Sonda estratosférica y mesosférica,
403,NASA,Espectrorradiómetro,SAM-II,Sonda de medición de aerosoles estratosféricos-II,
404,NASA,Espectrorradiómetro,IRIS,Espectrómetro interferómetro infrarrojo,
405,NASA,Sonda para la temperaturaGIFTS y humedad atmosféricas,,Espectrómetro de transformación Fourier geosincrónico productor de imágenes,
420,NASA,Espectrómetro                  AIRS,,Sonda infrarroja atmosférica,
426,NASA,Espectrómetro                  SOLSTICE,,Experimento de comparación de irradiancias solares y estelares,
430,NASA,Espectrómetro                  TES,,Espectrómetro de emisión troposférica,
431,NASA,Espectrómetro                  TOMS,,Espectrómetro de cartografía del ozono total,
432,NASA,Espectrómetro                  OCO,,Observatorio en órbita del carbono,
450,JAXA,Comunicaciones                Coms. ADEOS,,Paquete de comunicaciones para ADEOS,
451,JAXA,Comunicaciones                DCS (JAXA),,Sistema de recopilación de datos (JAXA),
453,NASDA,Comunicaciones                Coms. GMS,,Paquete de comunicaciones en GMS,
454,NASDA,Comunicaciones                Coms. JERS-1,,Paquete de comunicaciones para JERS-1,
460,NASDA,Lidar                                RIS,,Retrorreflector en el espacio,
461,NASDA,Radar                              PR,,Radar de precipitaciones,
462,NASDA,Radar productor de           SAR imágenes por microondas,,Radar de abertura sintética,
470,JAXA,Radar productor de           PALSAR imágenes por microondas,,Radar de abertura sintética en banda L de agrupamiento de fase,
478,JAXA,Radiómetro multiespectral AMSR2 productor de imágenes (microondas pasivo),,Radiómetro de exploración en microondas avanzado 2,
479,JAXA,Radiómetro multiespectral AMSR-E productor de imágenes (microondas pasivo),,Radiómetro de exploración en microondas avanzado-EOS,
480,JAXA,Productor de imágenes      PRISM (ALOS) ópticas de alta resolución,,Instrumento de teledetección pancromática para cartografías tridimensionales,
481,JAXA,Radiómetro                      AMSR,,Radiómetro de exploración en microondas avanzado,
482,NASDA,Productor de imágenes      AVNIR ópticas de alta resolución,,Radiómetro visible e infrarrojo cercano avanzado,
483,JAXA,Productor de imágenes      AVNIR-2 ópticas de alta resolución,,Radiómetro visible e infrarrojo cercano avanzado de tipo 2,
484,JAXA,Productor de imágenes      GLI,,Imagenizador mundial,
485,NASDA,Radiómetro                      MESSR,,Radiómetro de autoexploración electrónico multiespectral,
486,NASDA,Radiómetro                      MSR,,Radiómetro de exploración en microondas,
487,NASDA,Radiómetro                      OCTS,,Explorador del color y temperatura del océano,
488,NASDA,Radiómetro                      OPS,,Sensor óptico,
489,NASDA,Radiómetro                      VISSR (GMS-5),,Radiómetro visible e infrarrojo de exploración rotativa (GMS-5),
490,NASDA,Radiómetro                      VTIR,,Radiómetro infrarrojo térmico y visible,
510,NASDA,Espectrómetro                  ILAS-I,,Espectrómetro atmosférico tangencial mejorado,
511,NASDA,Espectrómetro                  ILAS-II,,Espectrómetro atmosférico tangencial mejorado,
512,NASDA,Espectrómetro                  IMG,,Monitor interferométrico de gases de efecto invernadero,
514,NASDA,Medio espacial                  SEM,,Aparato de control del medio espacial de la Academia Nacional de Ciencias (NASDA),
515,JAXA,Ozono total y perfil del      SOFIS ozono,,Espectrómetro de transformación Fourier de ocultación solar para satélite de órbita inclinada,
516,JAXA,Espectrómetro,TANSO-FTS,Sensor térmico y de infrarrojo corto para realizar observaciones del carbono (TANSO) – Espectrómetro de transformada de Fourier (FTS),
517,JAXA,Productor de imágenes,TANSO-CAI,Sensor térmico y de infrarrojo corto para realizar observaciones del carbono (TANSO Productor de imágenes de nubes y aerosoles (CAI),
518,JAXA,Radar de nubes y precipitación,DPR,Radar de doble frecuencia para precipitaciones,
519,NASA,"Radiómetro de imagen o sondeo por microondas, exploración cónica",GMI,Productor de imágenes por microondas GPM,
526,GeoOptics,Sonda de ocultación GNSS,Cion-A,Receptor de ocultación GNSS Cion-A de GeoOptics,
527,GeoOptics,Sonda de ocultación GNSS,Cion-B,Receptor de ocultación GNSS Cion-B de GeoOptics,
528,GeoOptics,Sonda de ocultación GNSS,Cion-C,Receptor de ocultación GNSS Cion-C de GeoOptics,
529,GeoOptics,Sonda de ocultación GNSS,Cion-D,Receptor de ocultación GNSS Cion-D de GeoOptics,
530,Spire,Sonda de ocultación GNSS,SGNOS-A,Sistema mundial de navegación por satélite con sonda de ocultación Spire A,
531,Spire,Sonda de ocultación GNSS,SGNOS-B,Sistema mundial de navegación por satélite con sonda de ocultación Spire B,
