CodeFigure,UnitType,Meaning,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status
752,,becquereles por metro cúbico,Bq m–3,Bq m–3,BQ/M3,,,,Operational
753,,milisievert,mSv,mSv,MSV,,,,Operational
810,,vatios por metro por estereorradián,,,,,,,Operational
811,,vatios por metro cuadrado,,,,,,,Operational
812,,vatios por metro cuadrado por estereorradián,,,,,,,Operational
813,,vatios por metro cuadrado por estereorradián por centímetro,,,,,,,Operational
814,,vatios por metro cuadrado por estereorradián por metro,,,,,,,Operational
815,,vatios por metro cúbico por estereorradián,,,,,,,Operational
820,,simensio por metro,,,,,,,Operational
825,,grados al cuadrado,grado–2,deg2,,,,,Operational
800,,pascales por segundo,Pa s–1,Pa/s,,,,,Operational
801,,kilopascal,kPa,kPa,,,,,Operational
810,,vatios por metro por estereorradián,,,,,,,Operational
811,,vatios por metro cuadrado,,,,,,,Operational
812,,vatios por metro cuadrado por estereorradián,,,,,,,Operational
813,,vatios por metro cuadrado por estereorradián por centímetro,,,,,,,Operational
814,,vatios por metro cuadrado por estereorradián por metro,,,,,,,Operational
815,,vatios por metro cúbico por estereorradián,,,,,,,Operational
820,,simensio por metro,,,,,,,Operational
825,,grados al cuadrado,grado2,deg2,,,,,Operational
830,,becquereles por segundo por metro cúbico,Bq s m–3,Bq s m–3,,,,,Operational
835,,decibelios por metro,dB m–1,dB/m,,,,,Operational
836,,decibelios por grado,dB grado–1,dB/deg,,,,,Operational
841,,unidades pH,unidad pH,unidad pH,,,,,Operational
